epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,13477.5,0.54997,1.00782,0.71121,1.09544,0.94092,0.95112,0.98181,0.88699,0.94092,0.95112,0.98181,0.82869,0.45011,0.83962,0.38819,1.06416,0.008416,0.008416,0.008416
66,13683.5,0.54056,1.01171,0.69857,1.08797,0.95332,0.95114,0.98514,0.89698,0.95332,0.95114,0.98514,0.84869,0.44325,0.79753,0.38191,1.05173,0.00839125,0.00839125,0.00839125
67,13885.5,0.54396,1.01632,0.68751,1.09022,0.96678,0.94378,0.98736,0.90389,0.96678,0.94378,0.98736,0.85159,0.43586,0.77982,0.35262,1.03895,0.0083665,0.0083665,0.0083665
68,14094.9,0.54125,0.9917,0.67526,1.08944,0.92122,0.94057,0.97473,0.88251,0.92122,0.94057,0.97473,0.83448,0.43283,0.80585,0.45013,1.04237,0.00834175,0.00834175,0.00834175
69,14300.8,0.54753,1.02361,0.69916,1.09072,0.94434,0.95027,0.97817,0.89558,0.94434,0.95027,0.97817,0.842,0.43167,0.79696,0.39362,1.02659,0.008317,0.008317,0.008317
70,14502.8,0.53732,0.99193,0.67792,1.08891,0.93002,0.97406,0.98446,0.8917,0.93002,0.97406,0.98446,0.84388,0.44041,0.80053,0.36962,1.05286,0.00829225,0.00829225,0.00829225
71,14709,0.53927,1.00031,0.6812,1.08868,0.95603,0.95225,0.98012,0.89122,0.95603,0.95225,0.98012,0.84001,0.43005,0.79728,0.37562,1.03598,0.0082675,0.0082675,0.0082675
72,14917.2,0.53009,0.98758,0.67861,1.0841,0.95633,0.94492,0.98651,0.89847,0.95633,0.94492,0.98651,0.83736,0.42993,0.84611,0.36007,1.02845,0.00824275,0.00824275,0.00824275
73,15120.3,0.53156,0.98062,0.68008,1.08246,0.95737,0.95276,0.9816,0.89351,0.95737,0.95276,0.9816,0.84063,0.4234,0.78237,0.35659,1.0316,0.008218,0.008218,0.008218
74,15322.1,0.52539,0.98349,0.65314,1.08278,0.95464,0.93896,0.98378,0.89107,0.95464,0.93896,0.98378,0.84821,0.44704,0.79747,0.38423,1.04958,0.00819325,0.00819325,0.00819325
75,15528.4,0.52725,0.98781,0.66296,1.08726,0.9483,0.94806,0.9794,0.88662,0.9483,0.94806,0.9794,0.84006,0.43686,0.80627,0.37435,1.03553,0.0081685,0.0081685,0.0081685
76,15733.7,0.53834,0.99013,0.67239,1.08717,0.94129,0.95403,0.9814,0.89654,0.94129,0.95403,0.9814,0.8501,0.43601,0.7849,0.36403,1.03973,0.00814375,0.00814375,0.00814375
77,15940,0.52274,0.97085,0.64815,1.08222,0.91984,0.95469,0.97062,0.8787,0.91984,0.95469,0.97062,0.83421,0.45493,0.79609,0.40732,1.06965,0.008119,0.008119,0.008119
78,16149.1,0.52137,0.99298,0.63146,1.07831,0.94972,0.93806,0.97428,0.88772,0.94972,0.93806,0.97428,0.84018,0.42903,0.81598,0.38294,1.03005,0.00809425,0.00809425,0.00809425
